messageId,boardId,kudosCount,postDate,solution,subject,text,url,views,author_userId,forumsThread_threadId,plain_text,bow,bowSubject,neAnnotated,bowAnnotated
1142,festnetz,0,"2014-01-24 19:00:03",0,"Umstellung auf IP Anschluss","<P>Hallo zusammen,</P> <P>Ich bin am Überlegen von meinem Analog Anschluss auf einen IP Anschluss zu wechseln.</P> <P>Gibt es bei der Umstellung von einem anaolgen zu einem IP basierten Anschluss etwas zu beachten, oder funktioniert alles wie gehabt?</P> <P>&nbsp;</P> <P>Hat jemand Erfahrungen, ob ich meine alte Hardware weiter nutzen kann?</P> <P>&nbsp;</P> <P>Grüße</P> <P>Fabian</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1142#M266,4895,120,1142,"Hallo zusammen,   Ich bin am Überlegen von meinem Analog Anschluss auf einen IP Anschluss zu wechseln.   Gibt es bei der Umstellung von einem anaolgen zu einem IP basierten Anschluss etwas zu beachten, oder funktioniert alles wie gehabt?       Hat jemand Erfahrungen, ob ich meine alte Hardware weiter nutzen kann?       Grüße   Fabian",,,0,0
1156,festnetz,4,"2014-01-27 10:21:23",1,"AW: Umstellung auf IP Anschluss","<P>Hallo,</P><P>ich habe am 16.12.13 den Anschlus meines Vater ISDN Mehrgeräteanschluss mit VDSL 25 auf IP umgestellt, dazu habe ich vorab ein Speedport W921V gesteigert und nach Eintreffen der Box die Umstellung Online in Auftrag gegeben. Der vorgesehene Schalttag am 28.12. wurde eingehalten und per Mail 2 Tage vorher nochmal bestätigt. Die Installation der Box ist ebenfalls sehr einfach, wer eine Fritzbox einstellen kann, kommt hiermit ebenfalls zurecht. Ich konnte problemlos 3 Dect Telefone, den AB und das Fax installieren, alles funktioniert auf Anhieb.&nbsp;<SPAN style="line-height: 20px;">Durch die Umstellung auf IP ist der Splitter und der NTBA überflüssig geworden, händelt alles der Speedport. Die Grundgebühr hat sich auch geringfügig reduziert.</SPAN></P><P><SPAN style="line-height: 20px;">Ich kann die Umstellung empfehlen, auch die Gesprächsqualität hat sich nicht verändert.</SPAN></P><P><SPAN style="line-height: 20px;">Grüße Michael</SPAN></P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1156#M267,6891,158,1142,"Hallo, ich habe am 16.12.13 den Anschlus meines Vater ISDN Mehrgeräteanschluss mit VDSL 25 auf IP umgestellt, dazu habe ich vorab ein Speedport W921V gesteigert und nach Eintreffen der Box die Umstellung Online in Auftrag gegeben. Der vorgesehene Schalttag am 28.12. wurde eingehalten und per Mail 2 Tage vorher nochmal bestätigt. Die Installation der Box ist ebenfalls sehr einfach, wer eine Fritzbox einstellen kann, kommt hiermit ebenfalls zurecht. Ich konnte problemlos 3 Dect Telefone, den AB und das Fax installieren, alles funktioniert auf Anhieb.  Durch die Umstellung auf IP ist der Splitter und der NTBA überflüssig geworden, händelt alles der Speedport. Die Grundgebühr hat sich auch geringfügig reduziert. Ich kann die Umstellung empfehlen, auch die Gesprächsqualität hat sich nicht verändert. Grüße Michael",,,0,0
1160,festnetz,3,"2014-01-27 10:33:38",1,"AW: Umstellung auf IP Anschluss","<P>Router muss umgestellt werden, Telefone ggf. anders angeschlossen und umkonfiguriert werden.</P><P>Ich nutze seit Jahren einen IP-Anschluss. Zu Hause funktioniert alles wie gehabt, ich habe ein ISDN Telefon am internen S0-Bus des Routers.</P><P>Ganz klarer Vorteil, ich habe meine Rufnummer auch im Smartphone konfiguriert. Ich kann jetzt an nahezu allen Telekom Anschlüssen, an denen ich mich per WLAn anmelden kann, mit meiner Rufnummer telefonieren.</P><P>Somit bin ich auch bei der Arbeit über meine Festnetznummer erreichbar. Das kann sehr nützlich sein.</P><P>&nbsp;</P><P>Gruß</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1160#M268,6882,160,1142,"Router muss umgestellt werden, Telefone ggf. anders angeschlossen und umkonfiguriert werden. Ich nutze seit Jahren einen IP-Anschluss. Zu Hause funktioniert alles wie gehabt, ich habe ein ISDN Telefon am internen S0-Bus des Routers. Ganz klarer Vorteil, ich habe meine Rufnummer auch im Smartphone konfiguriert. Ich kann jetzt an nahezu allen Telekom Anschlüssen, an denen ich mich per WLAn anmelden kann, mit meiner Rufnummer telefonieren. Somit bin ich auch bei der Arbeit über meine Festnetznummer erreichbar. Das kann sehr nützlich sein.   Gruß",,,0,0
1162,festnetz,5,"2014-01-27 10:34:32",1,"AW: Umstellung auf IP Anschluss","<P>Hallo Fabian!</P><P>&nbsp;</P><P>Die Umstellung läuft in der Regel problemlos, bei der Bestellung kannst du bereits einen Wunschtermin für die Umstellung angeben, ggf. kann aufgrund der Menge von Schaltterminen dieser nicht eingehalten werden, ein verbindlicher Termin wird dir aber auf der Auftragsbestätigung gesagt.</P><P>&nbsp;</P><P>Bi der Umstellung an sich musst du prinzipiell entscheiden, welchen Router du nutzen möchtest. Dafür ist es wichtig dein Anforderungsprofil zu wissen. Hast du eine ISDN-Teefonanlage? Wenn ja, dann empfiehlt sich hier der Speedport W921V, wie von <a href="https://telekomhilft.telekom.de/t5/user/viewprofilepage/user-id/158">@MichaelGötz</a> ebenfalls verwendet. Möchtest du lediglich zwei kabelgebundene, analoge Endgeräte (Telefone oder Faxgeräte) und DECT-Telefone verwenden, kannst du auch auf den Speedport W723V oder W724V zurückgreifen. Abgesehen vom internen ISDN-Bus unterscheiden sich die Geräte nicht, beim Seedport W724V hast du allerdings als bisher einzigen die Möglichkeit <A href="http://www.telekom.de/privatkunden/internet/extras/internet-extras/hotspot/wlan-to-go" target="_blank" rel="nofollow noopener noreferrer">WLAN to GO</A> zu nutzen.</P><P>&nbsp;</P><P>Bei der EInrichtung solltest du darauf achten, das du den NTBA, sowie den Splitter aus dem Aufbau entfernst, der Speedport hat ein mitgeliefertes TAE-&gt;RJ45 Kabel (grau), welches direkt in den Speedport und die TAE gesteckt wird. Die Installation des Speedports geht am einfachsten über die Einrichtungsseite <A href="http://www.telekom.de/einrichten" target="_blank" rel="nofollow noopener noreferrer">http://www.telekom.de/einrichten</A></P><P><BR />Auch eine manuelle Konfiguration ist möglich, dazu findest du Infos in der Bedienungsanleitung, oder du fragst hier einfach kurz nach <img class="emoticon emoticon-happy" id="happy" src="https://riokc95758.i.lithium.com/html/images/emoticons/smile-plus_generic_authentic_center_16x16.png" alt="Fröhlich" title="Fröhlich" /></P><P>&nbsp;</P><P>Grüße</P><P>Florian</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1162#M269,6885,18,1142,"Hallo Fabian!   Die Umstellung läuft in der Regel problemlos, bei der Bestellung kannst du bereits einen Wunschtermin für die Umstellung angeben, ggf. kann aufgrund der Menge von Schaltterminen dieser nicht eingehalten werden, ein verbindlicher Termin wird dir aber auf der Auftragsbestätigung gesagt.   Bi der Umstellung an sich musst du prinzipiell entscheiden, welchen Router du nutzen möchtest. Dafür ist es wichtig dein Anforderungsprofil zu wissen. Hast du eine ISDN-Teefonanlage? Wenn ja, dann empfiehlt sich hier der Speedport W921V, wie von  @MichaelGötz  ebenfalls verwendet. Möchtest du lediglich zwei kabelgebundene, analoge Endgeräte (Telefone oder Faxgeräte) und DECT-Telefone verwenden, kannst du auch auf den Speedport W723V oder W724V zurückgreifen. Abgesehen vom internen ISDN-Bus unterscheiden sich die Geräte nicht, beim Seedport W724V hast du allerdings als bisher einzigen die Möglichkeit  WLAN to GO  zu nutzen.   Bei der EInrichtung solltest du darauf achten, das du den NTBA, sowie den Splitter aus dem Aufbau entfernst, der Speedport hat ein mitgeliefertes TAE->RJ45 Kabel (grau), welches direkt in den Speedport und die TAE gesteckt wird. Die Installation des Speedports geht am einfachsten über die Einrichtungsseite  http://www.telekom.de/einrichten Auch eine manuelle Konfiguration ist möglich, dazu findest du Infos in der Bedienungsanleitung, oder du fragst hier einfach kurz nach    Grüße Florian",,,0,0
1202,festnetz,1,"2014-01-27 17:25:34",0,"AW: Umstellung auf IP Anschluss","<P>Hallo,<BR /><BR />Vielen Dank für das informative und schnelle Feedback!<BR />Dann kann ich ja sorgenfrei dieses Thema angehen.<BR /><BR />@godmode: Das klingt richtig interessant, du kannst also in jedem WLAN (auch Hotspots) über deinen Telefonanschluss zuhause telefonieren? Funktioniert das über die App Hometalk? oder was ist dafür noch nötig?<BR /><BR />@ Florian Schmidt :Mit dem WLAN to GO bringst du mich noch auf eine weitere Idee, dann ist sogar die Routerfrage bereits geklärt.<BR /><BR />Grüße<BR />Fabian</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1202#M270,4758,120,1142,"Hallo, Vielen Dank für das informative und schnelle Feedback! Dann kann ich ja sorgenfrei dieses Thema angehen. @godmode: Das klingt richtig interessant, du kannst also in jedem WLAN (auch Hotspots) über deinen Telefonanschluss zuhause telefonieren? Funktioniert das über die App Hometalk? oder was ist dafür noch nötig? @ Florian Schmidt :Mit dem WLAN to GO bringst du mich noch auf eine weitere Idee, dann ist sogar die Routerfrage bereits geklärt. Grüße Fabian",,,0,0
1224,festnetz,0,"2014-01-27 19:07:18",0,"AW: Umstellung auf IP Anschluss","<P>Hallo Fabian,</P><P>&nbsp;</P><P>zu der Telefonie: Nicht ganz, du kannst dich bspw. mit der HomeTalk App (oder auch jedem anderen SIP-Client) mit deiner Rufnummer registrieren (quasi anmelden wie mit Zugangsdaten hier am Forum) und dann über das Gerät (ob nun Telefon, Smartphone oder PC) erreichbar sein, Anrufe entgegen nehmen und tätigen.</P><P>&nbsp;</P><P>Einzige Voraussetzung für die Anmeldung ist ein Internetanschluss im Telekom-Netz, HotSpots gehen ebenso nicht.</P><P>&nbsp;</P><P>Grüße</P><P>Florian</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1224#M271,1335,18,1142,"Hallo Fabian,   zu der Telefonie: Nicht ganz, du kannst dich bspw. mit der HomeTalk App (oder auch jedem anderen SIP-Client) mit deiner Rufnummer registrieren (quasi anmelden wie mit Zugangsdaten hier am Forum) und dann über das Gerät (ob nun Telefon, Smartphone oder PC) erreichbar sein, Anrufe entgegen nehmen und tätigen.   Einzige Voraussetzung für die Anmeldung ist ein Internetanschluss im Telekom-Netz, HotSpots gehen ebenso nicht.   Grüße Florian",,,0,0
1312,festnetz,0,"2014-01-30 06:02:55",0,"AW: Umstellung auf IP Anschluss","<P>Bei den aktuellen Problemen mit IP-Telefonie würde ich mir das überlegen. <img class="emoticon emoticon-wink" id="wink" src="https://riokc95758.i.lithium.com/html/images/emoticons/winking-plus_generic_authentic_center_16x16.png" alt="Zwinkernd" title="Zwinkernd" /> (scnr)</P><P>&nbsp;</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1312#M272,1276,240,1142,"Bei den aktuellen Problemen mit IP-Telefonie würde ich mir das überlegen.   (scnr)  ",,,0,0
1344,festnetz,0,"2014-01-30 20:56:15",0,"AW: Umstellung auf IP Anschluss","<P>&nbsp;<a href="https://telekomhilft.telekom.de/t5/user/viewprofilepage/user-id/240">@chris</a> : Ich hoffe du bist nicht von einem Problem betroffen, wenn doch will ich Dir gerne helfen.<BR />Viele Grüße <BR />Regina</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1344#M273,1251,124,1142,"  @chris  : Ich hoffe du bist nicht von einem Problem betroffen, wenn doch will ich Dir gerne helfen. Viele Grüße  Regina",,,0,0
1380,festnetz,0,"2014-02-03 11:26:16",0,"AW: Umstellung auf IP Anschluss","<P>Wir haben uns nach 4 Monaten Werbung dazu entschlossen, auf IP umzusteigen. Das ganze endet gerade in einem totalen Fiasko, weil das System der Telekom verhindert, dass man Probleme mit fachlich kompetenten Ansprechpartnern diskutieren kann sondern von der Hotline durch endlose Warteschleifen geschaltet wird, wo einem immer absurdere Märchen aufgetischt werden. Man sollte sich auf jeden Fall schriftlich geben lassen, dass die Verfügbarkeit geprüft wurde, ansonsten steht man ohne Anschluss da. Nach nunmehr 5 Tagen ohne Rufnummer kann ich eigentlich jedem nur noch von Systemwechseln bei der Telekom abraten.</P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1380#M275,1212,272,1142,"Wir haben uns nach 4 Monaten Werbung dazu entschlossen, auf IP umzusteigen. Das ganze endet gerade in einem totalen Fiasko, weil das System der Telekom verhindert, dass man Probleme mit fachlich kompetenten Ansprechpartnern diskutieren kann sondern von der Hotline durch endlose Warteschleifen geschaltet wird, wo einem immer absurdere Märchen aufgetischt werden. Man sollte sich auf jeden Fall schriftlich geben lassen, dass die Verfügbarkeit geprüft wurde, ansonsten steht man ohne Anschluss da. Nach nunmehr 5 Tagen ohne Rufnummer kann ich eigentlich jedem nur noch von Systemwechseln bei der Telekom abraten.",,,0,0
1404,festnetz,0,"2014-02-03 15:16:31",0,"AW: Umstellung auf IP Anschluss","<P><a href="https://telekomhilft.telekom.de/t5/user/viewprofilepage/user-id/272">@LMZ</a>&nbsp;Das Telekom hilft-Team hat sich der Problemlösung unter Ihrem anderen Posting angenommen!<BR /><A href="https://community.telekom-dienste.de/t5/Festnetz-Diskussion/Wie-erreicht-man-einen-kompetenten-Techniker-direkt/m-p/1382#U1382" target="_blank" rel="nofollow noopener noreferrer">https://community.telekom-dienste.de/t5/Festnetz-Diskussion/Wie-erreicht-man-einen-kompetenten-Techniker-direkt/m-p/1382#U1382</A></P> <P><SPAN style="line-height: 20px;">&nbsp;</SPAN></P> <P><SPAN style="line-height: 20px;">Auch ich hoffe auf eine schnelle Lösung.</SPAN></P>",https://telekomhilft.telekom.de/t5/Festnetz-Internet/Umstellung-auf-IP-Anschluss/m-p/1404#M276,1168,120,1142,"@LMZ  Das Telekom hilft-Team hat sich der Problemlösung unter Ihrem anderen Posting angenommen! https://community.telekom-dienste.de/t5/Festnetz-Diskussion/Wie-erreicht-man-einen-kompetenten-Techniker-direkt/m-p/1382#U1382       Auch ich hoffe auf eine schnelle Lösung.",,,0,0
